1- Agumon:
60 176036
61 184825
62 193906
63 203285
64 212967
65 222956
66 233257
67 243874
68 254813
69 266079
70 277676
71 289609
72 301882
73 314501
74 327471
75 340796
76 354481
77 368530
78 382949
79 397743
80 412916
81 428473
82 444418
83 460757
84 477495
85 494636
86 512185
87 530146
88 548525
89 567327
90 586556
91 606217
92 626314
93 646853
94 667839
95 689276
96 711169
97 733522
98 756341
99 779631


4- Kumamon

Lv Exp

01 0
02 13
03 37
04 79
05 195
06 291
07 423
08 596
09 819
10 1095
11 1430
12 1830
13 2300
14 2849
15 3480
16 4199
17 5012
18 5924
19 6944
20 8825
21 10073
22 11444
23 12943
24 14579
25 16355
26 18277
27 20351
28 22582
29 24979
30 27545
31 30286
32 33208
33 36316
34 39619
35 43120
36 46825
37 50740
38 54870
39 59224
40 66005
41 70819
42 75872
43 81169
44 86719
45 92525
46 98593
47 104929
48 111538
49 118429
50 125605
51 133072
52 140836
53 148902
54 157279
55 165970
56 174981
57 184318
58 193986
59 203994
60 214345
61 225045
62 236100
63 247515
64 259299
65 271455
66 283989
67 296907
68 310214
69 323919
70 338025
71 352538
72 367464
73 382808
74 398579
75 414780
76 431417
77 448496
78 466022
79 484004
80 502445
81 521351
82 540728
83 560581
84 580919
85 601745
86 623065
87 644885
88 667210
89 690049
90 713405
91 737284
92 761692
93 786634
94 812119
95 838150
96 864733
97 891874
98 919578
99 947854

5- Monmon

Lv Exp

01 0
02 8
03 22
04 47
05 137
06 195
07 274
08 378
09 511
10 677
11 879
12 1120
13 1404
14 1735
15 2117
16 2553
17 3046
18 3600
19 4219
20 5657
21 6417
22 7252
23 8166
24 9163
25 10247
26 11421
27 12688
28 14052
29 15517
30 17087
31 18765
32 20554
33 22458
34 24481
35 26627
36 28899
37 31300
38 33834
39 36505
40 41517
41 44473
42 47576
43 50830
44 54239
45 57807
46 61537
47 65432
48 69496
49 73733
50 78147
51 82741
52 87518
53 92482
54 97637
55 102987
56 108535
57 114284
58 120238
59 126401
60 132777
61 139369
62 146180
63 153214
64 160475
65 167967
66 175693
67 183656
68 191860
69 200309
70 209007
71 217957
72 227162
73 236626
74 246353
75 256347
76 266611
77 277148
78 287962
79 299057
80 310437
81 322105
82 334064
83 346318
84 358871
85 371727
86 384889
87 398360
88 412144
89 426245
90 440667
91 455413
92 470486
93 485890
94 501629
95 517707
96 534127
97 550892
98 568006
99 585473


6- Patamon

Lv Exp

01 0
02 11
03 33
04 71
05 180
06 267
07 385
08 542
09 742
10 990
11 1293
12 1654
13 2081
14 2578
15 3150
16 3804
17 4543
18 5375
19 6304
20 8085
21 9225
22 10477
23 11849
24 13345
25 14970
26 16731
27 18631
28 20678
29 22876
30 25230
31 27747
32 30430
33 33287
34 36322
35 39540
36 42948
37 46549
38 50351
39 54358
40 60775
41 65209
42 69863
43 74745
44 79859
45 85210
46 90805
47 96647
48 102744
49 109100
50 115720
51 122611
52 129776
53 137223
54 144956
55 152980
56 161302
57 169925
58 178857
59 188102
60 197665
61 207553
62 217769
63 228321
64 239213
65 250450
66 262039
67 273983
68 286290
69 298964
70 312010
71 325435
72 339242
73 353439
74 368030
75 383020
76 398416
77 414221
78 430443
79 447086
80 464155
81 481657
82 499595
83 517977
84 536807
85 556090
86 575833
87 596039
88 616716
89 637868
90 659500
91 681619
92 704228
93 727335
94 750944
95 775060
96 799690
97 824837
98 850509
99 876710

7- Renamon

Lv Exp

01 0
02 8
03 26
04 55
05 151
06 219
07 311
08 433
09 588
10 781
11 1017
12 1298
13 1630
14 2016
15 2461
16 2970
17 3545
18 4192
19 4914
20 6466
21 7353
22 8327
23 9394
24 10557
25 11821
26 13191
27 14669
28 16261
29 17970
30 19801
31 21759
32 23846
33 26068
34 28428
35 30931
36 33582
37 36383
38 39340
39 42456
40 47936
41 51385
42 55005
43 58802
44 62779
45 66941
46 71293
47 75837
48 80579
49 85522
50 90671
51 96031
52 101604
53 107396
54 113410
55 119651
56 126124
57 132831
58 139778
59 146968
60 154406
61 162097
62 170043
63 178250
64 186721
65 195461
66 204475
67 213765
68 223337
69 233194
70 243341
71 253783
72 264522
73 275564
74 286912
75 298571
76 310546
77 322839
78 335456
79 348400
80 361676
81 375289
82 389241
83 403538
84 418183
85 433181
86 448537
87 464253
88 480335
89 496786
90 513611
91 530815
92 548400
93 566372
94 584734
95 603491
96 622648
97 642207
98 662174
99 682552


8- Veemon

Lv Exp

01 0
02 10
03 29
04 63
05 166
06 243
07 348
08 487
09 665
10 886
11 1155
12 1476
13 1855
14 2297
15 2806
16 3387
17 4044
18 4783
19 5609
20 7276
21 8289
22 9402
23 10621
24 11951
25 13396
26 14961
27 16650
28 18469
29 20423
30 22516
31 24753
32 27138
33 29677
34 32375
35 35236
36 38265
37 41466
38 44845
39 48407
40 54356
41 58297
42 62434
43 66773
44 71319
45 76076
46 81049
47 86242
48 91661
49 97311
50 103196
51 109321
52 115690
53 122309
54 129183
55 136316
56 143713
57 151378
58 159317
59 167535
60 176036
61 184825
62 193906
63 203285
64 212967
65 222956
66 233257
67 243874
68 254813
69 266079
70 277676
71 289609
72 301882
73 314501
74 327471
75 340796
76 354481
77 368530
78 382949
79 397743
80 412916
81 428473
82 444418
83 460757
84 477495
85 494636
86 512185
87 530146
88 548525
89 567327
90 586556
91 606217
92 626314
93 646853
94 667839
95 689276
96 711169
97 733522
98 756341
99 779631
